loan_id,age,income,loan_amount,credit_score,default
1057,46,67217.18991100346,5756,300,0
1058,26,14086.095426492924,19691,416,1
1059,56,38201.51337343747,19874,807,0
1060,53,24702.97773148847,18290,523,0
1061,65,37606.55800454071,17575,699,1
1062,56,53714.98851663415,11775,602,0
1063,37,47311.60061825368,21658,548,1
1064,68,46199.33646577978,13697,783,0
1065,39,47612.22692929909,10744,527,0
1066,34,53050.82360929915,11831,300,1
1067,65,34871.95937085338,42674,436,0
1068,37,60602.74461348576,5409,653,0
1069,21,59939.98955578226,18488,628,0
1070,42,55775.56906484152,5577,314,0
1071,59,58348.001641268944,13233,449,0
1072,27,54446.27001212989,11065,471,0
1073,42,80526.09954096601,4461,506,0
1074,24,48693.58743421235,17396,344,0
1075,53,45393.751724981346,11396,464,0
1076,42,,4427,448,1
1077,35,34516.059941332445,22287,688,0
1078,29,31332.92318598387,30923,694,0
1079,47,36668.040301536224,31875,541,0
1080,52,48939.794275218934,17110,502,0
1081,66,55014.42692746572,14405,587,0
1082,40,50767.13087828243,29158,434,1
1083,26,38516.970838554305,35430,381,0
1084,61,63502.76846029945,26199,414,0
1085,50,61091.190084514215,8368,463,1
1086,54,47605.27538866975,15689,378,1
1087,23,40206.25783002932,17885,590,0
1088,34,58226.418812446995,5191,681,0
1089,57,52819.60381229156,18181,311,0
1090,61,28278.091108774286,49028,569,0
1091,40,48980.29616023393,19970,529,1
1092,59,53930.53718111572,31583,619,0
1093,61,36504.5782026837,15531,562,0
1094,38,52847.65089256164,13490,332,0
1095,64,28177.66272113316,17321,363,0
1096,32,70042.79150018256,8967,569,1
1097,30,68719.24977589148,8266,729,0
1098,53,46212.239985455526,28183,300,0
1099,51,55451.815067586096,29875,620,1
1100,25,13851.170513001874,8143,755,0
1101,61,32654.78509602001,23918,540,1
1102,28,,13389,653,1
1103,59,33918.00467859711,16931,452,0
1104,18,60715.947239459885,18090,545,0
1105,59,,24267,305,0
1106,58,,14698,300,0
1107,58,37438.04893872211,30503,715,0
1108,52,53531.72552464895,16650,407,1
1109,42,,19797,492,0
1110,54,31664.385311901453,8881,343,0
1111,32,53735.541834604126,46040,339,0
1112,58,77319.48276219663,18186,537,0
1113,46,25223.61277731099,20788,448,0
1114,41,30783.961897312518,5799,625,1
1115,44,43645.90090308743,8933,637,0
1116,47,42191.17380716884,27746,616,0
1117,19,62189.01931630467,16445,603,0
1118,25,53624.89579731257,4902,817,0
1119,30,23375.569105368075,24861,394,1
1120,23,57731.156043512165,10414,556,0
1121,40,41336.916689665246,30523,746,1
1122,52,69116.70825411858,13382,767,0
1123,52,,15718,337,0
1124,42,40450.770753466466,26861,515,0
1125,62,58116.97416206797,8573,782,0
1126,47,61443.89723505405,8135,646,0
1127,22,56721.49045904305,12606,596,0
1128,57,24716.040239227877,22136,530,0
1129,47,58070.516598923765,6755,503,0
1130,51,34485.37922488402,5612,611,0
1131,47,53529.14167382395,22094,524,0
1132,46,28643.983469014096,10081,558,0
1133,22,56694.83221314596,11319,577,0
1134,47,37901.01643538941,5058,456,1
1135,59,30760.480246092175,9668,650,0
1136,33,60707.30204723599,13986,849,0
1137,49,53624.66782515127,23428,300,0
1138,19,40790.34797910655,9190,616,0
1139,36,71767.68273531596,34946,443,0
1140,40,43390.213676453866,9638,657,0
1141,69,50481.61510956402,9646,572,0
1142,29,54033.70171517901,32714,686,0
1143,32,40705.0109880708,15777,753,0
1144,39,57067.044400998944,10367,595,0
1145,69,41998.214792529136,12896,746,0
1146,62,43825.42516675686,29560,300,1
1147,19,70439.63959705012,31458,819,0
1148,30,34391.20921231351,8962,625,0
1149,60,13808.29503605765,13721,737,0
1150,21,74164.05492517841,14759,369,1
1151,62,88239.91928910505,8165,432,0
1152,32,43920.96101826002,13621,588,0
1153,65,,14086,562,0
1154,33,45342.740357060844,26295,610,1
1155,40,45706.65575238996,27285,738,0
1156,52,47151.14238466614,11719,300,1
1157,24,33299.17937117227,12486,720,0
1158,46,58693.41713714716,20239,566,0
1159,44,57867.61062929129,10180,532,1
1160,58,27583.9157027104,19414,329,1
1161,69,60487.950975423315,13382,645,0
1162,52,,8241,300,0
1163,39,52579.4049865559,8298,668,0
1164,39,44940.12256897241,31129,326,0
1165,39,47869.95178388718,12887,573,0
1166,60,59228.851504528415,34620,545,0
1167,34,24039.925917391727,10588,752,0
1168,26,52465.86054465953,16484,536,0
1169,35,44143.04075805785,52364,453,0
1170,19,77717.37519434068,7851,483,0
1171,23,47387.40899292563,4945,768,0
1172,22,75018.3141667928,28499,650,0
1173,58,33443.88953326989,8913,503,0
1174,55,58808.887502041885,13886,527,0
1175,54,54791.00395686843,10176,314,1
1176,42,36964.291282028265,16277,627,0
1177,55,52660.9417195541,8327,300,0
1178,26,,12721,685,0
1179,64,45143.124435700985,17987,585,1
1180,44,24620.560262453553,8066,849,0
1181,66,49736.557602838315,9556,388,0
1182,25,36463.65357811231,11602,548,0
1183,43,44864.885920041765,6401,849,0
1184,54,48776.183454723185,459300,755,0
1185,43,24415.21675976724,14993,453,0
1186,41,25765.12491018983,11274,600,0
1187,26,57231.00253288288,12097,565,0
1188,37,42159.219557454795,13892,610,0
1189,30,11528.834872691492,9792,453,0
1190,33,61772.660549122025,20539,550,0
1191,53,54085.5463291136,30939,309,0
1192,50,39291.87763945274,10879,586,1
1193,49,30247.546834126377,18340,637,1
1194,36,62537.11844471506,12311,528,0
1195,67,55240.259338406446,17172,306,0
1196,22,85739.0342402611,33229,723,0
1197,35,56302.82898087406,18579,623,0
1198,24,55815.54711893022,5296,448,0
1199,35,47496.081048371525,18028,520,0
1200,68,,27669,324,0
1201,37,59376.2780187223,12433,400,0
1202,65,68775.87512847793,24285,478,0
1203,43,42180.15622044073,9609,761,0
1204,54,43468.887905840566,6204,462,0
1205,41,42813.452436320295,15179,667,0
1206,31,61862.02581768484,5345,478,0
1207,57,72475.61660445097,12309,604,0
1208,68,43117.39260276049,28503,542,1
1209,31,43628.39408310363,4913,704,0
1210,58,54711.15835804699,6948,479,0
1211,31,46313.57749980648,7962,313,1
1212,55,64280.804797098346,13564,343,0
1213,59,,11486,479,0
1214,41,37599.42429624658,30319,365,0
1215,56,38263.75499057831,23739,630,0
1216,32,15194.65981420783,18442,490,0
1217,22,35545.42333446794,15216,849,0
1218,23,36272.65826231111,17436,300,0
1219,41,46983.43018221755,8742,597,0
1220,64,66694.48837490396,22504,384,0
1221,24,46324.09023213947,7619,486,0
1222,41,34537.79419593269,22236,587,0
1223,54,49145.68188179706,26967,300,1
1224,28,65737.60432162024,15772,602,0
1225,55,35360.61775827643,12747,849,0
1226,33,36341.376741178276,17504,492,0
1227,60,58378.23438911335,2911,606,0
1228,48,46676.95826403799,16585,728,0
1229,46,59712.27036064211,13196,538,0
1230,27,49795.29812307055,13659,472,0
1231,42,60524.95472134351,20715,300,1
1232,62,34473.82828939039,13479,667,0
1233,19,49818.73023817599,7502,546,0
1234,57,46839.64978455265,12994,402,0
1235,43,31761.63613843804,14576,585,1
1236,55,26547.830781969675,14961,471,0
1237,52,60286.23552911993,15353,480,0
1238,40,44735.71426673033,24876,662,0
1239,34,34665.795775290055,7729,350,1
1240,50,48557.31594615002,15470,732,0
1241,25,66920.28286023953,28551,341,0
1242,48,,5410,458,1
1243,22,27550.419651450105,15503,849,0
1244,51,36156.703371570984,10179,745,0
1245,50,71917.68300080493,11454,580,0
1246,22,54238.80474378945,8539,414,0
1247,57,,12794,480,0
1248,39,32897.58621310654,38665,576,1
1249,58,33206.961870942105,7006,571,0
1250,20,,7381,550,0
1251,27,50874.1149640317,6863,560,0
1252,43,58231.0822829619,36318,530,1
1253,27,47184.93513607322,10891,334,1
1254,35,54172.15589681941,13848,482,1
1255,52,52371.78627357664,11254,711,0
1256,25,61666.51083627388,8355,346,0
1257,53,62105.12422916706,12341,534,0
1258,23,25701.920084123452,54287,433,0
1259,27,,30201,582,0
1260,48,65026.180964772604,8786,502,0
1261,59,67815.87639892905,20054,801,1
1262,26,34690.65470729994,8890,646,0
1263,33,22102.46890181557,5287,355,0
1264,66,,24606,672,0
1265,69,63962.57339525794,26584,441,0
1266,48,76963.91783651472,24967,472,0
1267,41,57744.46358152176,10846,615,0
1268,36,44424.249551214576,12814,486,1
1269,49,36603.04067622706,21213,707,0
1270,48,50171.76937505982,17419,441,0
1271,33,,11311,465,0
1272,19,34773.98141406776,5765,459,1
1273,25,80731.3347629493,14952,474,1
1274,67,76777.52603108197,25424,740,0
1275,39,67040.73025333142,7269,665,0
1276,43,36187.244032863084,19957,838,0
1277,42,62825.289864459184,16854,849,0
1278,58,59594.396142468526,21217,400,0
1279,21,56638.18436306079,22688,576,0
1280,22,68744.97900565666,9586,376,0
1281,32,59530.56714291916,5771,440,0
1282,43,61100.213544565035,10473,464,0
1283,52,59553.59425058315,22903,395,0
1284,43,55111.87112003159,10424,396,0
1285,40,23245.83305428725,9588,541,1
1286,66,51254.31616115836,5158,370,0
1287,26,41657.12061726312,36826,699,0
1288,47,30802.385635399693,22118,418,0
1289,46,75227.24928951236,21449,849,1
1290,42,75934.93011328555,23915,492,0
1291,59,70388.30900443418,19287,576,0
1292,31,53828.20125283812,12279,357,0
1293,67,70259.37681428985,440487,837,0
1294,35,50180.797709027385,11102,744,1
1295,46,,59821,612,0
1296,45,,19068,349,1
1297,62,55954.8695674826,10882,598,0
1298,40,50905.78892636626,18143,385,0
1299,32,30460.218247483033,8055,798,0
1300,19,49232.043322751044,32128,694,0
1301,36,48804.056542147875,9764,580,1
1302,60,76963.4174996696,18501,300,1
1303,18,63413.19992770114,25243,407,0
1304,64,50171.68158637199,17355,675,0
1305,46,53731.80964701624,14794,759,0
1306,25,50663.18567156297,14128,742,0
1307,33,46956.290228066784,13615,310,0
1308,46,33763.592039175695,10227,613,0
1309,34,47734.22183589606,10969,727,1
1310,23,38808.5261502123,31691,300,0
1311,52,31245.266916152803,13231,563,1
1312,52,57668.32721821302,9116,608,0
1313,24,55868.969898998526,10573,516,0
1314,32,23199.38732947883,25725,300,1
1315,30,48159.73043757309,20365,512,0
1316,52,64935.52078849885,19114,512,0
1317,55,65888.35608344481,12190,541,0
1318,55,65387.552643278585,19252,474,0
1319,66,50583.6981035219,9858,494,0
1320,57,37324.320080462734,12176,558,0
1321,34,33744.51758962909,23942,635,1
1322,23,55169.073571255365,326763,516,0
1323,49,55689.200515477445,8184,499,0
1324,65,69309.96667407599,8773,579,0
1325,68,66499.69475513126,14910,300,1
1326,29,48016.57015203242,36293,641,0
1327,30,31336.91181708696,4897,564,0
1328,19,45213.40104483653,16368,571,0
1329,25,53258.46792215787,6589,718,1
1330,46,46968.75131915894,9908,300,0
1331,46,41331.588378835164,11494,300,1
1332,37,53793.272224548484,11145,608,0
1333,34,42440.63387884085,10471,563,0
1334,61,40579.00874411939,14100,592,0
1335,41,54671.79251455159,10463,491,0
1336,60,43970.11129806193,6283,671,0
1337,68,,21567,714,0
1338,34,54098.06034278184,21249,642,0
1339,28,32908.56498362638,22331,523,0
1340,67,42781.383142018814,6019,300,0
1341,51,71566.65409874693,16554,688,0
1342,33,32568.80730898569,20369,760,0
1343,50,18250.183265442036,7965,668,0
1344,44,22072.322701362325,14116,424,1
1345,65,50436.64919865004,13175,672,0
1346,31,50463.759170490484,38684,702,1
1347,69,48235.837168623184,40476,814,0
1348,66,68212.84743392753,5623,424,0
1349,27,9907.48350345593,55363,528,0
1350,26,55939.008116462355,8490,684,0
1351,45,73421.5730270536,24086,574,0
1352,20,33083.288526624296,23951,386,0
1353,33,44302.902323151575,8122,631,1
1354,40,38706.62124157068,18422,657,0
1355,68,36584.809308837066,13238,579,0
1356,69,45106.0699246544,19051,600,0
1357,25,71412.27925526757,15945,523,1
1358,64,77560.80013231281,27119,801,0
1359,22,44960.911624397784,14639,420,0
1360,56,78575.90321096705,12806,471,1
1361,61,50533.64715476937,25664,566,0
1362,64,,19326,705,0
1363,29,48600.520255197625,21005,325,0
1364,64,51965.86739069216,9745,355,0
1365,24,55482.11708964252,7904,300,1
1366,44,95000.0,10278,570,0
1367,42,62769.283622671835,9982,386,0
1368,34,39391.03205072805,21642,503,0
1369,19,64534.96805413787,24024,670,0
1370,58,44572.51194373488,12896,462,0
1371,35,42653.74725648186,30853,602,1
1372,52,63629.02039838167,29812,517,0
1373,39,50466.283816567295,16057,672,0
1374,37,54178.638717677095,8937,641,0
1375,64,50209.77832797939,33405,454,1
1376,22,55048.74689908152,13581,538,0
1377,56,56374.488461542234,15054,731,0
1378,56,20945.49600941877,11652,627,0
1379,37,59998.590029143,8609,341,0
1380,31,35269.70870254549,6262,669,0
1381,18,28365.512966608832,19892,391,0
1382,66,49123.83134211976,9128,791,0
1383,67,51259.71504971681,75565,728,0
1384,30,39597.40753141579,7728,611,0
1385,19,62465.47786501962,7033,590,0
1386,24,29867.372504436396,18594,531,1
1387,21,43895.843768411614,32569,673,0
1388,61,41226.88797600499,14553,505,0
1389,64,49301.19094490991,19240,602,0
1390,25,54182.96426970858,5095,704,1
1391,56,34881.60575564683,9676,475,0
1392,27,60864.24016184342,7782,466,0
1393,37,50945.035525020496,4953,373,0
1394,49,21620.80620032134,14978,394,0
1395,55,20621.128394044536,4091,300,0
1396,63,49815.21060606033,6787,681,0
1397,20,46685.49023320469,10452,849,0
1398,28,48448.6982963805,8891,793,0
1399,32,49580.26315204673,17466,304,0
1400,34,,16615,680,0
1401,69,64214.744147724494,22962,792,0
1402,58,33333.426486236625,21244,491,0
1403,34,32420.426106488077,26303,581,0
1404,68,33600.14213168927,14030,300,1
1405,43,,16596,607,0
1406,44,68674.21067969668,18608,394,0
1407,40,43529.908426407346,15183,596,0
1408,25,12474.502337605183,11289,315,0
1409,66,24440.107060844366,11698,651,0
1410,18,37504.449158059826,8958,728,0
1411,27,41634.06668757178,17710,439,0
1412,29,43874.17059117911,13337,383,1
1413,32,,9752,300,0
1414,24,45323.80503766329,9757,522,1
1415,18,65740.0941581511,7218,471,1
1416,53,39859.74041477947,24061,316,1
1417,68,37065.230607866855,14665,637,0
1418,24,57183.133077806924,8738,493,0
1419,33,26965.368951108212,21910,392,0
1420,44,55845.375579800035,10319,476,0
1421,66,51538.297755894004,6480,736,0
1422,54,47788.362651227486,24629,661,0
1423,57,73824.14160723894,10453,544,0
1424,48,40666.88832057923,11216,664,0
1425,39,80904.47255786118,14366,379,0
1426,28,,26329,570,1
1427,62,30844.753325446578,14200,588,1
1428,59,51048.79371492238,7263,489,0
1429,19,33856.32199521847,18942,634,0
1430,55,38723.66228279749,10756,440,0
1431,22,55955.49950023237,39670,646,0
1432,56,58333.73132975187,14036,653,0
1433,60,40667.48449618612,4108,300,1
1434,24,64811.07717569601,17095,755,0
1435,40,67362.616370317,40926,300,0
1436,24,71544.52634844936,33415,466,0
1437,47,57941.201106885834,38447,729,0
1438,66,70451.43068128548,8015,514,1
1439,22,21788.023580389134,23195,330,0
1440,38,45231.40177057306,9442,390,0
1441,68,36994.92115514861,15889,729,1
1442,33,51788.387916910884,6974,300,0
1443,24,41428.261712048945,9853,745,0
1444,43,47507.632370754014,9682,556,0
1445,44,78232.62320306074,23022,374,0
1446,52,47454.20305369433,21816,471,0
1447,34,56206.88475785321,-10021,402,1
1448,67,46515.96005113647,6683,703,0
1449,45,51135.699319352505,11832,682,0
1450,32,50090.25020654107,9317,300,0
1451,67,56724.86098959739,22659,500,0
1452,66,67479.61303320766,26849,426,0
1453,43,74710.90996404993,25110,771,0
1454,19,54644.3012286375,9271,348,1
1455,49,58843.20329053403,3113,821,0
1456,46,32737.032362216494,5314,559,1
1457,25,48681.84886376569,30696,379,0
1458,50,64104.34197325383,11263,456,0
1459,61,62989.5295762573,9294,436,0
1460,23,53174.145991925754,34664,361,0
1461,55,63295.90939351929,28165,580,0
1462,25,57361.50063490728,14235,368,1
1463,56,68004.59387388983,11952,300,0
1464,39,54340.387354356666,13060,504,0
1465,18,44664.52526643448,15914,300,0
1466,68,55037.61885399536,33861,444,0
1467,26,6041.084362208363,17718,419,1
1468,48,55743.28604577574,20938,425,0
1469,27,4000.0,26718,849,0
1470,66,24148.04888891873,7381,574,0
1471,56,56776.52901411476,21273,604,1
1472,59,57162.94005900193,11944,300,1
1473,40,32563.56829790104,3520,460,1
1474,42,39318.46937181592,4357,599,0
1475,50,70558.11482921198,8023,401,0
1476,58,42739.54802640986,18811,710,0
1477,62,83643.80468604478,14952,372,0
1478,18,49971.202202354805,15544,519,1
1479,52,56120.542653219,41069,471,0
1480,23,74253.11597747912,6988,591,0
1481,32,51965.406742901294,13834,462,1
1482,61,34964.840289637985,16605,521,0
1483,31,48354.08822458565,-3823,527,1
1484,59,,14265,447,1
1485,42,29528.875216976518,5826,642,0
1486,30,46162.51892988765,30499,603,0
1487,35,38867.11859003845,9654,550,0
1488,45,63865.36635781151,42928,496,0
1489,57,50519.178112778834,13796,692,0
1490,49,45758.06376278645,24722,527,1
1491,66,48407.271040661355,13639,515,1
1492,63,53346.83027609249,13809,581,0
1493,57,59252.212995346694,10186,836,0
1494,49,35004.31656995928,14996,350,0
1495,33,34376.18551068092,16729,688,0
1496,39,,9124,300,1
1497,24,43814.94691692904,13111,599,0
1498,37,28747.368611046888,10041,817,0
1499,66,56657.19064074657,49752,643,1
1500,40,56950.547090490305,13368,592,0
1501,23,27039.271141149402,32856,475,1
1502,51,53442.225731954095,12612,569,0
1503,68,61033.746386425606,16197,524,0
1504,63,55615.796775593946,6790,439,0
1505,32,59479.72225642093,10983,518,0
1506,41,28935.963528638764,15769,596,0
1507,45,54965.602324942935,33601,442,1
1508,30,45460.7036079433,15868,435,0
1509,31,42758.14761913033,30063,347,0
1510,30,63058.3341412959,19978,627,1
1511,69,72189.11766011345,34375,652,0
1512,56,76915.55081900538,13596,602,0
1513,61,69722.11807258858,52293,719,0
1514,60,48353.987275547246,10754,579,0
1515,67,55290.802445395144,9214,627,0
1516,23,61502.34307676365,7219,613,0
1517,63,51817.66923949193,50618,550,1
1518,21,51961.462818673164,22042,480,0
1519,42,62356.29697814273,11687,849,1
1520,48,49110.76030961102,27916,492,1
1521,36,39060.69595439508,20501,458,0
1522,25,43782.904012462124,41414,634,0
1523,27,59508.65566600613,5995,605,0
1524,60,50044.89936799934,12137,340,1
1525,34,55103.149653025066,10890,744,0
1526,34,,4743,549,0
1527,66,44377.378056535854,25164,387,1
1528,25,61343.722454447096,12104,755,0
1529,65,55682.639051875914,21095,665,0
1530,65,31477.80369632782,51425,362,0
1531,49,71634.57186779367,11565,849,0
1532,26,42488.82884364626,11141,670,0
1533,26,25173.569852222245,14992,563,0
1534,32,34324.34435620547,24173,819,0
1535,48,34684.32258982517,10284,590,0
1536,25,50782.599779863005,9927,560,0
1537,41,45892.24241680644,25121,459,1
1538,24,44947.520485391105,17296,658,0
1539,46,59295.52948223718,4561,641,0
1540,19,55098.130417890556,7158,567,0
1541,54,54740.718059664294,32070,438,1
1542,20,56147.42685993039,17519,585,1
1543,28,59242.020020033575,9235,553,0
1544,27,18380.699873338355,12788,351,0
1545,61,44533.42621603308,14147,329,0
1546,20,17296.84903265789,21050,655,0
1547,40,50540.89890196693,6654,300,0
1548,48,49930.50541663482,8844,597,0
1549,44,65682.9841218452,16320,488,0
1550,53,67814.51589081681,13294,774,0
1551,59,53041.62572378551,19236,486,0
1552,38,42494.5838390465,7142,670,0
1553,61,57277.416688186066,17093,501,0
1554,34,42081.23544013529,25601,583,0
1555,69,49979.11022834977,18357,682,1
1556,44,64792.044754411516,15161,490,0
1557,56,41633.42981015865,13323,724,1
1558,63,62085.17958863752,8874,406,1
1559,59,60161.020530384536,13499,612,0
1560,62,35678.122743037675,28081,712,0
1561,45,64608.41192326101,13155,670,0
1562,20,60478.49518057257,8609,849,0
1563,43,51528.888310589864,10714,442,0
1564,27,38565.14812958521,15685,344,0
1565,64,37111.90972136645,11437,405,0
1566,30,41935.06134645466,18341,670,0
1567,29,58138.9169493794,18724,644,0
1568,30,35665.62248897903,22901,581,0
1569,51,56562.68372929805,30729,385,0
1570,47,31373.667066824113,24288,687,0
1571,67,46938.971233417265,8402,369,0
1572,39,51644.71631861013,8545,750,0
1573,32,86676.95217588375,13471,849,0
1574,20,29340.265167194488,10958,623,0
1575,18,72080.218497352,7509,658,0
1576,37,,11016,486,0
1577,66,56167.578770239445,10819,300,0
1578,45,51775.21870082307,9706,468,0
1579,64,56670.90227292849,11805,390,0
1580,23,47694.723434569736,26853,333,1
1581,22,71810.75272186188,15671,840,0
1582,61,43152.93283662917,54693,608,0
1583,23,66983.51858268872,15426,625,0
1584,20,40334.49319680466,11974,515,0
1585,39,,14077,537,0
1586,66,33920.56171564671,16173,719,0
1587,53,56825.3558052128,17843,559,0
1588,23,71676.889353898,44011,649,0
1589,61,48839.65730268719,8823,533,0
1590,61,47046.71451944136,22527,510,0
1591,59,33280.7455539811,15745,339,1
1592,64,46560.61019671538,5919,300,1
1593,30,26108.086104177084,21459,523,0
1594,68,36306.83019921759,28203,574,1
1595,34,53401.790691637034,8765,359,0
1596,59,69785.19796612093,13976,559,0
1597,48,92138.16291844254,5437,573,0
1598,58,41201.22372393649,7028,300,0
1599,50,71529.5023496816,24995,418,0
1600,51,53656.28720602472,10867,630,0
1601,50,47731.28529880436,7632,626,0
1602,58,56488.916775892285,15934,380,0
1603,56,50928.747255199385,10537,590,1
1604,24,51655.93588418328,10841,728,0
1605,60,43875.00255759996,21092,689,0
1606,45,29028.35510301724,7413,549,0
1607,34,26845.621962168778,8536,490,0
1608,44,59798.67324921841,15287,464,1
1609,68,45849.498648714296,23937,639,0
1610,62,41058.6665051575,27750,596,1
1611,61,50127.58440084731,9742,665,0
1612,42,61923.98379373441,23519,586,0
1613,58,52705.45914539597,9125,696,0
1614,38,40159.17595038549,38346,580,0
1615,53,68394.39433473424,7528,690,0
1616,51,,29163,704,0
1617,30,57418.3498298428,9788,436,0
1618,31,64604.95267016135,42501,300,1
1619,21,68629.39995220717,19443,811,0
1620,25,66951.4897460677,8032,606,0
1621,40,59211.48765668935,10538,300,1
1622,42,58975.20570612324,21583,450,0
1623,26,57794.90860019754,25058,688,0
1624,39,33539.93488179435,13509,520,0
1625,49,60510.84735289379,14394,483,1
1626,30,29662.79043310169,21313,789,0
1627,35,38081.00817312417,15101,397,0
1628,37,69553.47601712131,6895,437,0
1629,44,62603.30244041296,8981,598,0
1630,37,72310.97434528795,15984,627,0
1631,56,45924.88424469062,27406,644,0
1632,35,32716.267380848487,34159,710,0
1633,40,46393.44204394486,21563,596,0
1634,37,51530.46945860861,16449,643,0
1635,27,51184.830745100146,21202,523,1
1636,53,67005.20718135053,9733,575,0
1637,30,44580.94362494832,12910,582,0
1638,33,55280.51707704386,8926,599,0
1639,59,35170.59275848091,7067,688,0
1640,67,56754.7591706572,16873,653,0
1641,52,50046.628252784554,15553,572,1
1642,65,38752.79992573224,20501,435,1
1643,62,46462.559567377204,18965,575,0
1644,43,47237.36380227168,16050,560,1
1645,58,45947.673059943554,19075,595,1
1646,35,76570.11863401525,13719,849,0
1647,41,48523.309965381806,17625,481,0
1648,45,46341.55834733993,9420,632,0
1649,67,18538.235635847876,17212,735,0
1650,62,36586.88972030784,20285,580,0
1651,43,46053.898633154706,9717,849,0
1652,51,39712.20985735036,14451,504,0
1653,28,70725.61390066695,9967,616,0
1654,59,47525.93336905672,10514,437,0
1655,46,69326.6637397738,7565,508,0
1656,45,50925.56951075552,28175,604,0
1657,57,50558.417546323646,25239,700,1
1658,50,48668.05328431249,18875,616,0
1659,21,50056.94377432189,41552,766,0
1660,32,75781.92504574789,12656,549,0
1661,27,15205.839098731725,74419,511,1
1662,56,19976.81383341982,12393,849,1
1663,19,41852.43753415829,16161,628,0
1664,28,50217.918229063536,11285,449,0
1665,49,60351.56637146018,17236,453,0
1666,54,57096.30797041213,22239,414,1
1667,44,44236.311306791446,13192,714,0
1668,62,65285.65539862643,37317,506,1
1669,65,65452.931047290964,16019,585,1
1670,24,52760.867469073484,16297,554,0
1671,67,64439.86358730262,8519,682,0
1672,49,54089.67895148193,17680,429,0
1673,51,41577.754598256746,13047,392,1
1674,22,60467.25258500007,10051,600,1
1675,50,51659.19683868017,9163,661,0
1676,55,50020.0977013173,61051,618,0
1677,48,72094.30358284361,12150,435,0
1678,22,13236.918071898705,6302,673,0
1679,45,28734.737447606454,9566,445,1
1680,66,32193.943604384447,13652,481,0
1681,55,44551.090286467916,18971,413,1
1682,25,46180.87745350955,19056,773,0
1683,67,27390.115283404288,20377,666,0
1684,67,35222.629515337605,9851,661,0
1685,26,37087.37482214645,16937,764,0
1686,59,86861.36138113838,8675,849,0
1687,39,77026.12921620719,9989,300,0
1688,48,43823.75873473026,8478,446,0
1689,41,44546.25064539802,7306,466,0
1690,58,32761.94004217559,25218,428,0
1691,69,21378.043801621,20511,392,0
1692,59,48246.79720387214,24033,517,0
1693,66,35032.22025133962,14352,370,0
1694,67,,21531,618,1
1695,22,25996.91226434784,5331,573,0
1696,31,38570.38312534613,22577,641,0
1697,55,52229.40642954246,15482,646,0
1698,48,55493.14396675906,19829,661,0
1699,20,56262.07938113022,17310,505,0
1700,22,30192.66523764444,8161,849,0
1701,45,,6162,602,0
1702,50,37996.82455097225,9494,300,0
1703,26,59492.868719109596,19162,404,1
1704,26,49840.4198507271,20528,300,0
1705,24,29354.18751383078,6619,567,1
1706,47,45257.03443128218,8188,545,0
1707,18,55480.45613095652,9435,490,0
1708,47,,11539,849,0
1709,42,47885.18153833372,6640,652,0
1710,42,72976.68335901579,6424,681,0
1711,53,65112.661564798385,8937,416,0
